analysis_snapshot_id,factor,case_id,suite,task_id,task_description,init_state_id,query_idx,phase,candidates,successful_candidates,outcome_heterogeneous,all_candidates_fail,all_candidates_succeed,successful_candidate_indices,successful_candidate_seeds,top_candidate_idx,top_candidate_seed,top_candidate_value,top_candidate_success,top_candidate_failure_type,top_candidate_drop,top_candidate_wrong_object,top_candidate_safety_violation,best_success_candidate_idx,best_success_candidate_seed,best_success_value,top_over_best_success_margin,within_state_value_pairwise_accuracy,k4_selected_idx,k4_selected_value,k4_selected_success,k4_oracle_success,k8_selected_idx,k8_selected_value,k8_selected_success,k8_oracle_success,k16_selected_idx,k16_selected_value,k16_selected_success,k16_oracle_success,k4_to_k8_oracle_gain,k8_to_k16_oracle_gain,k4_to_k8_greedy_harm,k4_to_k8_greedy_rescue,k8_to_k16_greedy_harm,k8_to_k16_greedy_rescue
proposal_opportunity_k16_20260830__environment_task2_init5_7_k16::libero_object_env__task2__init5__rollout0__query0,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,5,0,approach,16,0,False,True,False,[],[],11,5200496,0.07231974601745605,False,timeout_no_goal,False,False,False,,,,,,3,0.07202702760696411,False,False,5,0.07216551899909973,False,False,11,0.07231974601745605,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init5_7_k16::libero_object_env__task2__init5__rollout0__query3,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,5,3,grasp,16,0,False,True,False,[],[],11,5203496,0.14775389432907104,False,timeout_no_goal,False,False,False,,,,,,1,0.1469932496547699,False,False,1,0.1469932496547699,False,False,11,0.14775389432907104,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init5_7_k16::libero_object_env__task2__init6__rollout0__query0,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,6,0,approach,16,0,False,True,False,[],[],1,5200583,0.08412125706672668,False,timeout_no_goal,False,False,False,,,,,,1,0.08412125706672668,False,False,1,0.08412125706672668,False,False,1,0.08412125706672668,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init5_7_k16::libero_object_env__task2__init6__rollout0__query3,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,6,3,grasp,16,0,False,True,False,[],[],5,5203587,0.27681076526641846,False,kinematic_deadlock_candidate,False,False,False,,,,,,3,0.16618883609771729,False,False,5,0.27681076526641846,False,False,5,0.27681076526641846,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init5_7_k16::libero_object_env__task2__init7__rollout0__query0,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,7,0,approach,16,0,False,True,False,[],[],4,5200683,0.15086618065834045,False,timeout_no_goal,False,False,False,,,,,,3,0.09877046942710876,False,False,4,0.15086618065834045,False,False,4,0.15086618065834045,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init5_7_k16::libero_object_env__task2__init7__rollout0__query3,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,7,3,grasp,16,0,False,True,False,[],[],8,5203687,0.49147242307662964,False,timeout_no_goal,False,False,False,,,,,,3,0.488799512386322,False,False,6,0.48884400725364685,False,False,8,0.49147242307662964,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init8_9_k16::libero_object_env__task2__init8__rollout0__query0,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,8,0,approach,16,0,False,True,False,[],[],6,5200782,0.09673511981964111,False,timeout_no_goal,False,False,False,,,,,,0,0.0942164957523346,False,False,6,0.09673511981964111,False,False,6,0.09673511981964111,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init8_9_k16::libero_object_env__task2__init8__rollout0__query3,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,8,3,grasp,16,0,False,True,False,[],[],3,5203779,0.513573169708252,False,timeout_no_goal,False,False,False,,,,,,3,0.513573169708252,False,False,3,0.513573169708252,False,False,3,0.513573169708252,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init8_9_k16::libero_object_env__task2__init9__rollout0__query0,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,9,0,approach,16,0,False,True,False,[],[],15,5200888,0.3183917999267578,False,timeout_no_goal,False,False,False,,,,,,2,0.30719417333602905,False,False,2,0.30719417333602905,False,False,15,0.3183917999267578,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__environment_task2_init8_9_k16::libero_object_env__task2__init9__rollout0__query3,Environment,proposal_k16_environment_task2,libero_object_env,2,pick the salad dressing and place it in the basket,9,3,grasp,16,0,False,True,False,[],[],4,5203877,0.5016765594482422,False,timeout_no_goal,False,False,False,,,,,,1,0.5010471343994141,False,False,4,0.5016765594482422,False,False,4,0.5016765594482422,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__object_task0_init5_7_k16::libero_object_object__task0__init5__rollout0__query0,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,5,0,approach,16,4,True,False,False,"[2, 3, 10, 14]","[5100002, 5100003, 5100010, 5100014]",0,5100000,0.2319333553314209,False,timeout_no_goal,False,False,False,3.0,5100003.0,0.2290755808353424,0.002857774496078491,0.3125,0,0.2319333553314209,False,True,0,0.2319333553314209,False,True,0,0.2319333553314209,False,True,False,False,False,False,False,False
proposal_opportunity_k16_20260830__object_task0_init5_7_k16::libero_object_object__task0__init5__rollout0__query3,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,5,3,grasp,16,5,True,False,False,"[0, 1, 3, 12, 14]","[5103000, 5103001, 5103003, 5103012, 5103014]",12,5103012,0.4231056869029999,True,success,False,False,False,12.0,5103012.0,0.4231056869029999,0.0,0.38181818181818183,1,0.4223470389842987,True,True,6,0.42280399799346924,False,True,12,0.4231056869029999,True,True,False,False,True,False,False,True
proposal_opportunity_k16_20260830__object_task0_init5_7_k16::libero_object_object__task0__init6__rollout0__query0,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,6,0,approach,16,14,True,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]","[5100097, 5100098, 5100099, 5100100, 5100101, 5100102, 5100103, 5100104, 5100105, 5100106, 5100108, 5100109, 5100111, 5100112]",8,5100105,0.2490083873271942,True,success,False,False,False,8.0,5100105.0,0.2490083873271942,0.0,0.39285714285714285,1,0.2487511932849884,True,True,6,0.2489050328731537,True,True,8,0.2490083873271942,True,True,False,False,False,False,False,False
proposal_opportunity_k16_20260830__object_task0_init5_7_k16::libero_object_object__task0__init6__rollout0__query3,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,6,3,grasp,16,13,True,False,False,"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 15]","[5103097, 5103098, 5103099, 5103100, 5103101, 5103103, 5103104, 5103106, 5103107, 5103108, 5103109, 5103110, 5103112]",14,5103111,0.46235132217407227,False,kinematic_deadlock_candidate,False,False,False,11.0,5103108.0,0.4622361958026886,0.00011512637138366699,0.28205128205128205,3,0.46213647723197937,True,True,3,0.46213647723197937,True,True,14,0.46235132217407227,False,True,False,False,False,False,True,False
proposal_opportunity_k16_20260830__object_task0_init5_7_k16::libero_object_object__task0__init7__rollout0__query0,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,7,0,approach,16,0,False,True,False,[],[],12,5100206,0.24945348501205444,False,timeout_no_goal,False,False,False,,,,,,3,0.2492886781692505,False,False,3,0.2492886781692505,False,False,12,0.24945348501205444,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__object_task0_init5_7_k16::libero_object_object__task0__init7__rollout0__query3,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,7,3,grasp,16,0,False,True,False,[],[],7,5103201,0.5010339617729187,False,timeout_no_goal,False,False,False,,,,,,1,0.5008794665336609,False,False,7,0.5010339617729187,False,False,7,0.5010339617729187,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__object_task0_init8_9_k16::libero_object_object__task0__init8__rollout0__query0,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,8,0,approach,16,10,True,False,False,"[0, 3, 4, 5, 6, 7, 10, 11, 12, 14]","[5100291, 5100294, 5100295, 5100296, 5100297, 5100298, 5100301, 5100302, 5100303, 5100305]",11,5100302,0.252419650554657,True,success,False,False,False,11.0,5100302.0,0.252419650554657,0.0,0.45,1,0.252186119556427,False,True,1,0.252186119556427,False,True,11,0.252419650554657,True,True,False,False,False,False,False,True
proposal_opportunity_k16_20260830__object_task0_init8_9_k16::libero_object_object__task0__init8__rollout0__query3,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,8,3,grasp,16,16,False,False,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5103291, 5103292, 5103293, 5103294, 5103295, 5103296, 5103297, 5103298, 5103299, 5103300, 5103301, 5103302, 5103303, 5103304, 5103305, 5103306]",10,5103301,0.47589990496635437,True,success,False,False,False,10.0,5103301.0,0.47589990496635437,0.0,,0,0.47555482387542725,True,True,0,0.47555482387542725,True,True,10,0.47589990496635437,True,True,False,False,False,False,False,False
proposal_opportunity_k16_20260830__object_task0_init8_9_k16::libero_object_object__task0__init9__rollout0__query0,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,9,0,approach,16,11,True,False,False,"[2, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]","[5100390, 5100393, 5100394, 5100395, 5100397, 5100398, 5100399, 5100400, 5100401, 5100402, 5100403]",6,5100394,0.2632925510406494,True,success,False,False,False,6.0,5100394.0,0.2632925510406494,0.0,0.8363636363636363,3,0.2618933916091919,False,True,6,0.2632925510406494,True,True,6,0.2632925510406494,True,True,False,False,False,True,False,False
proposal_opportunity_k16_20260830__object_task0_init8_9_k16::libero_object_object__task0__init9__rollout0__query3,Object,proposal_k16_object_task0,libero_object_object,0,pick the alphabet soup and place it in the basket,9,3,grasp,16,2,True,False,False,"[2, 11]","[5103390, 5103399]",1,5103389,0.47895362973213196,False,target_drop_candidate,True,False,False,2.0,5103390.0,0.47872310876846313,0.00023052096366882324,0.6071428571428571,1,0.47895362973213196,False,True,1,0.47895362973213196,False,True,1,0.47895362973213196,False,True,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init5_7_k16::libero_object_temp__task0__init5__rollout0__query0,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,5,0,approach,16,0,False,True,False,[],[],13,5300013,0.26519307494163513,False,wrong_object_interaction_candidate,False,True,False,,,,,,0,0.26381081342697144,False,False,5,0.26464658975601196,False,False,13,0.26519307494163513,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init5_7_k16::libero_object_temp__task0__init5__rollout0__query3,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,5,3,approach,16,0,False,True,False,[],[],4,5303004,0.32265883684158325,False,wrong_object_interaction_candidate,False,True,False,,,,,,3,0.31991419196128845,False,False,4,0.32265883684158325,False,False,4,0.32265883684158325,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init5_7_k16::libero_object_temp__task0__init6__rollout0__query0,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,6,0,approach,16,0,False,True,False,[],[],10,5300107,0.2556324601173401,False,timeout_no_goal,False,False,False,,,,,,0,0.2546069025993347,False,False,7,0.25501173734664917,False,False,10,0.2556324601173401,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init5_7_k16::libero_object_temp__task0__init6__rollout0__query3,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,6,3,approach,16,0,False,True,False,[],[],15,5303112,0.32082951068878174,False,timeout_no_goal,False,False,False,,,,,,0,0.3185701370239258,False,False,0,0.3185701370239258,False,False,15,0.32082951068878174,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init5_7_k16::libero_object_temp__task0__init7__rollout0__query0,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,7,0,approach,16,0,False,True,False,[],[],8,5300202,0.26624560356140137,False,timeout_no_goal,False,False,False,,,,,,1,0.264972448348999,False,False,6,0.26558512449264526,False,False,8,0.26624560356140137,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init5_7_k16::libero_object_temp__task0__init7__rollout0__query3,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,7,3,approach,16,0,False,True,False,[],[],2,5303196,0.33619850873947144,False,timeout_no_goal,False,False,False,,,,,,2,0.33619850873947144,False,False,2,0.33619850873947144,False,False,2,0.33619850873947144,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init8_9_k16::libero_object_temp__task0__init8__rollout0__query0,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,8,0,approach,16,0,False,True,False,[],[],3,5300294,0.2600446343421936,False,timeout_no_goal,False,False,False,,,,,,3,0.2600446343421936,False,False,3,0.2600446343421936,False,False,3,0.2600446343421936,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init8_9_k16::libero_object_temp__task0__init8__rollout0__query3,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,8,3,approach,16,0,False,True,False,[],[],2,5303293,0.32504263520240784,False,timeout_no_goal,False,False,False,,,,,,2,0.32504263520240784,False,False,2,0.32504263520240784,False,False,2,0.32504263520240784,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init8_9_k16::libero_object_temp__task0__init9__rollout0__query0,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,9,0,approach,16,0,False,True,False,[],[],1,5300389,0.2558120787143707,False,timeout_no_goal,False,False,False,,,,,,1,0.2558120787143707,False,False,1,0.2558120787143707,False,False,1,0.2558120787143707,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_x0p3_task0_init8_9_k16::libero_object_temp__task0__init9__rollout0__query3,Position,proposal_k16_position_x0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,9,3,approach,16,0,False,True,False,[],[],3,5303391,0.3114074170589447,False,wrong_object_interaction_candidate,False,True,False,,,,,,3,0.3114074170589447,False,False,3,0.3114074170589447,False,False,3,0.3114074170589447,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init5_7_k16::libero_object_temp__task0__init5__rollout0__query0,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,5,0,approach,16,0,False,True,False,[],[],7,5310007,0.2171376645565033,False,timeout_no_goal,False,False,False,,,,,,0,0.21572571992874146,False,False,7,0.2171376645565033,False,False,7,0.2171376645565033,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init5_7_k16::libero_object_temp__task0__init5__rollout0__query3,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,5,3,approach,16,0,False,True,False,[],[],10,5313010,0.3288770318031311,False,timeout_no_goal,False,False,False,,,,,,2,0.32816624641418457,False,False,5,0.3282827138900757,False,False,10,0.3288770318031311,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init5_7_k16::libero_object_temp__task0__init6__rollout0__query0,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,6,0,approach,16,1,True,False,False,[5],[5310102],4,5310101,0.2707509994506836,False,timeout_no_goal,False,False,False,5.0,5310102.0,0.2669430077075958,0.0038079917430877686,0.26666666666666666,0,0.26911985874176025,False,False,4,0.2707509994506836,False,True,4,0.2707509994506836,False,True,True,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init5_7_k16::libero_object_temp__task0__init6__rollout0__query3,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,6,3,approach,16,0,False,True,False,[],[],9,5313106,0.33130350708961487,False,timeout_no_goal,False,False,False,,,,,,0,0.33055177330970764,False,False,0,0.33055177330970764,False,False,9,0.33130350708961487,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init5_7_k16::libero_object_temp__task0__init7__rollout0__query0,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,7,0,approach,16,2,True,False,False,"[0, 10]","[5310194, 5310204]",5,5310199,0.2723793387413025,False,timeout_no_goal,False,False,False,0.0,5310194.0,0.2722128629684448,0.00016647577285766602,0.75,0,0.2722128629684448,True,True,5,0.2723793387413025,False,True,5,0.2723793387413025,False,True,False,False,True,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init5_7_k16::libero_object_temp__task0__init7__rollout0__query3,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,7,3,approach,16,0,False,True,False,[],[],1,5313195,0.3209969997406006,False,timeout_no_goal,False,False,False,,,,,,1,0.3209969997406006,False,False,1,0.3209969997406006,False,False,1,0.3209969997406006,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init8_9_k16::libero_object_temp__task0__init8__rollout0__query0,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,8,0,approach,16,0,False,True,False,[],[],5,5310296,0.21254342794418335,False,timeout_no_goal,False,False,False,,,,,,0,0.20879322290420532,False,False,5,0.21254342794418335,False,False,5,0.21254342794418335,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init8_9_k16::libero_object_temp__task0__init8__rollout0__query3,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,8,3,approach,16,0,False,True,False,[],[],9,5313300,0.3287878632545471,False,timeout_no_goal,False,False,False,,,,,,2,0.32731157541275024,False,False,2,0.32731157541275024,False,False,9,0.3287878632545471,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init8_9_k16::libero_object_temp__task0__init9__rollout0__query0,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,9,0,approach,16,0,False,True,False,[],[],0,5310388,0.230471670627594,False,timeout_no_goal,False,False,False,,,,,,0,0.230471670627594,False,False,0,0.230471670627594,False,False,0,0.230471670627594,False,False,False,False,False,False,False,False
proposal_opportunity_k16_20260830__position_y0p3_task0_init8_9_k16::libero_object_temp__task0__init9__rollout0__query3,Position,proposal_k16_position_y0p3_task0,libero_object_temp,0,pick the alphabet soup and place it in the basket,9,3,approach,16,0,False,True,False,[],[],9,5313397,0.33955395221710205,False,timeout_no_goal,False,False,False,,,,,,2,0.3387181758880615,False,False,2,0.3387181758880615,False,False,9,0.33955395221710205,False,False,False,False,False,False,False,False
