job,trace,sha256,episodes
object_t6_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t6_first__libero_object_object__task6__init2-6__first__l0p0__query_traces.parquet,a9342c5573e485b12073069614e25b563e6e1a3170888723b38a0cb02b63d955,5
object_t6_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t6_max_value__libero_object_object__task6__init2-6__max_value__l0p0__query_traces.parquet,0a0c2422154f83dd841dacfb3729a6c5aa2e1147e8e66dd1693304e34812df72,5
object_t6_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t6_winner__libero_object_object__task6__init2-6__trajectory_medoid__l1p0__query_traces.parquet,93ad618590b3db20fd9f1b53fe694dc48415537c4a0492f5a8120455501a6ed9,5
object_t7_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t7_first__libero_object_object__task7__init2-6__first__l0p0__query_traces.parquet,3b3f74eb2a38b6e4db615cf1d25d7ec7edf5fdf93156704ff7f45dbb5549b60c,5
object_t7_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t7_max_value__libero_object_object__task7__init2-6__max_value__l0p0__query_traces.parquet,930a1e35c003b3c10295d0e018a071e0a5a3d91687a76e3f73566982c801ea25,5
object_t7_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t7_winner__libero_object_object__task7__init2-6__trajectory_medoid__l1p0__query_traces.parquet,1e3873c667f298a1b70d88a9d660f9c26b7dec9da052857a619971d1fa7fa11e,5
object_t8_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t8_first__libero_object_object__task8__init2-6__first__l0p0__query_traces.parquet,e1532f9af273efea6abaf4a3205e0913d5f67e12bc6f5669c4a67f4032cba5c1,5
object_t8_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t8_max_value__libero_object_object__task8__init2-6__max_value__l0p0__query_traces.parquet,dcc4bd822188fefbbdc0d1697568b87474328f67b6fd524455f226a941811f85,5
object_t8_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t8_winner__libero_object_object__task8__init2-6__trajectory_medoid__l1p0__query_traces.parquet,99318a0dea734329523f44a0e06bf786fecacced87f972817230f3c5dd3e08fb,5
object_t9_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t9_first__libero_object_object__task9__init2-6__first__l0p0__query_traces.parquet,94de809b7eaf5ffbbbb44115df8eceba3a24f6d0deeb38345c717bb116578288,5
object_t9_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t9_max_value__libero_object_object__task9__init2-6__max_value__l0p0__query_traces.parquet,edc845825e27b4e9f94d175cf3727b8172afe84843e89303dc5eba45f5995884,5
object_t9_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__object_t9_winner__libero_object_object__task9__init2-6__trajectory_medoid__l1p0__query_traces.parquet,cbe71c2a78242312e768e7a8312646f182fe09df27af3811cd36b3e6efd72c66,5
position_x0_1_t0_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t0_first__libero_object_temp__task0__init1__first__l0p0__query_traces.parquet,7ccaa4deeeb36530c4ea1ca849fbb4b1560e3c91fef060e81f0ae325101fa804,1
position_x0_1_t0_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t0_max_value__libero_object_temp__task0__init1__max_value__l0p0__query_traces.parquet,20e86313b01e774116c48db174a3e277a41e7753a73efe442113a5933064f604,1
position_x0_1_t0_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t0_winner__libero_object_temp__task0__init1__trajectory_medoid__l1p0__query_traces.parquet,516158bb1bbefad615bb26a4fe057c99d2e70a74f56001f9f90ee3f52081dec9,1
position_x0_1_t1_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t1_first__libero_object_temp__task1__init1__first__l0p0__query_traces.parquet,7d2e5d45bdfdefae538e00f2d3ebf2fe834f8956d567a68f326a64e2708cef2e,1
position_x0_1_t1_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t1_max_value__libero_object_temp__task1__init1__max_value__l0p0__query_traces.parquet,3c2685b608920315755e0a4c9cea0febc394efe74eec64b7845f6d47d01d8899,1
position_x0_1_t1_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t1_winner__libero_object_temp__task1__init1__trajectory_medoid__l1p0__query_traces.parquet,94f70539000ecb4bdccf4e967028dcfaa463f9ea06836024b62fceb150945ce5,1
position_x0_1_t2_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t2_first__libero_object_temp__task2__init1__first__l0p0__query_traces.parquet,1fde5f4ad62e49b89048d5dab1e6e223fff2d2135a87858563d2bbc5448be836,1
position_x0_1_t2_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t2_max_value__libero_object_temp__task2__init1__max_value__l0p0__query_traces.parquet,a129720d225ecd80db6d901105b1a159886bc37354b1f139aa06c5ad61bcb58c,1
position_x0_1_t2_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t2_winner__libero_object_temp__task2__init1__trajectory_medoid__l1p0__query_traces.parquet,9a49c5c222aa14ece9c10ca161d34c21a9b58aae18fbb6946b8538f54dc25c42,1
position_x0_1_t3_first,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t3_first__libero_object_temp__task3__init1__first__l0p0__query_traces.parquet,ec37c2f3930a011254d9382ad48af9abb842c906049f841554441ebb39290173,1
position_x0_1_t3_max_value,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t3_max_value__libero_object_temp__task3__init1__max_value__l0p0__query_traces.parquet,d93811f4f22daafc8518d41d5c037ab3a3d01276cddb748414fb53053763f805,1
position_x0_1_t3_winner,/home/jovyan/shares/SR006.nfs2/spiridonov/malnev_world_model/YSDA_WORD_MODELS_PP/experiments/campaigns/trajectory_consensus_20260908_compact/runs/trajectory_consensus_20260908_compact__position_x0_1_t3_winner__libero_object_temp__task3__init1__trajectory_medoid__l1p0__query_traces.parquet,9926bb4121f38f59dcb38b80b0de22a1f711004dfd24a46b2e6af27ffcb2d587,1
