suite,task_id,bddl_file,benchmark_description,bddl_description,instruction_shift,goal_predicates_json,target_objects
libero_spatial_task,2,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate.bddl,pick up the black bowl from table center and place it on the plate,pick the akita black bowl next to the plate and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,3,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate.bddl,pick up the black bowl on the cookie box and place it on the plate,pick the akita black bowl on the top of the cabinet and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,4,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate.bddl,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,pick the akita black bowl on the top of the wooden cabinet and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,5,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate.bddl,pick up the black bowl on the ramekin and place it on the plate,pick the akita black bowl on the cookie box and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,6,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate.bddl,pick up the black bowl next to the cookie box and place it on the plate,pick the akita black bowl on the stove and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,7,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate.bddl,pick up the black bowl on the stove and place it on the plate,pick the akita black bowl on the top of the cabinet and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,8,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate.bddl,pick up the black bowl next to the plate and place it on the plate,pick the akita black bowl next to the ramekin and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,9,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate.bddl,pick up the black bowl on the wooden cabinet and place it on the plate,pick the akita black bowl on the stove and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_10_task,0,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.bddl,put both the alphabet soup and the tomato sauce in the basket,put both the cream cheese and the tomato sauce in the basket,True,"[[""in"", ""cream_cheese_1"", ""basket_1_contain_region""], [""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]","cream_cheese_1,tomato_sauce_1"
libero_10_task,1,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.bddl,put both the cream cheese box and the butter in the basket,put both the alphabet soup and the butter in the basket,True,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""], [""in"", ""butter_1"", ""basket_1_contain_region""]]","alphabet_soup_1,butter_1"
libero_10_task,2,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.bddl,turn on the stove and put the moka pot on it,turn on the stove and put the pan on it,True,"[[""turnon"", ""flat_stove_1""], [""on"", ""chefmate_8_frypan_1"", ""flat_stove_1_cook_region""]]","flat_stove_1,chefmate_8_frypan_1"
libero_10_task,3,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.bddl,put the black bowl in the bottom drawer of the cabinet and close it,put the bottle in the bottom drawer of the cabinet and close it,True,"[[""close"", ""white_cabinet_1_bottom_region""], [""in"", ""wine_bottle_1"", ""white_cabinet_1_bottom_region""]]","white_cabinet_1_bottom_region,wine_bottle_1"
libero_10_task,4,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.bddl,put the white mug on the left plate and put the yellow and white mug on the right plate,put the yellow and white mug on the left plate and put the white mug on the right plate,True,"[[""on"", ""white_yellow_mug_1"", ""plate_1""], [""on"", ""porcelain_mug_1"", ""plate_2""]]","white_yellow_mug_1,porcelain_mug_1"
libero_10_task,5,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl,pick up the book and place it in the back compartment of the caddy,pick up the cup and place it in the back compartment of the caddy,True,"[[""in"", ""white_yellow_mug_1"", ""desk_caddy_1_back_contain_region""]]",white_yellow_mug_1
libero_10_task,6,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl,put the white mug on the plate and put the chocolate pudding to the right of the plate,put the red mug on the plate and put the chocolate pudding to the right of the plate,True,"[[""on"", ""red_coffee_mug_1"", ""plate_1""], [""on"", ""chocolate_pudding_1"", ""living_room_table_plate_right_region""]]","red_coffee_mug_1,chocolate_pudding_1"
libero_10_task,7,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.bddl,put both the alphabet soup and the cream cheese box in the basket,put both the ketchup and the cream cheese box in the basket,True,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""], [""in"", ""cream_cheese_1"", ""basket_1_contain_region""]]","ketchup_1,cream_cheese_1"
libero_10_task,8,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.bddl,put both moka pots on the stove,put the left moka pot on the stove,True,"[[""on"", ""moka_pot_1"", ""flat_stove_1_cook_region""], [""turnon"", ""flat_stove_1""]]","moka_pot_1,flat_stove_1"
libero_10_task,9,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_10_task/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.bddl,put the yellow and white mug in the microwave and close it,put the white mug in the microwave and close it,True,"[[""in"", ""porcelain_mug_1"", ""microwave_1_heating_region""], [""close"", ""microwave_1""]]","porcelain_mug_1,microwave_1"
libero_object_task,0,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_alphabet_soup_and_place_it_in_the_basket.bddl,pick up the alphabet soup and place it in the basket,pick the cream cheese and place it in the basket,True,"[[""in"", ""cream_cheese_1"", ""basket_1_contain_region""]]",cream_cheese_1
libero_object_task,1,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_cream_cheese_and_place_it_in_the_basket.bddl,pick up the cream cheese and place it in the basket,pick the alphabet soup and place it in the basket,True,"[[""in"", ""alphabet_soup_1"", ""basket_1_contain_region""]]",alphabet_soup_1
libero_object_task,2,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_salad_dressing_and_place_it_in_the_basket.bddl,pick up the salad dressing and place it in the basket,pick the tomato sauce and place it in the basket,True,"[[""in"", ""tomato_sauce_1"", ""basket_1_contain_region""]]",tomato_sauce_1
libero_object_task,3,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_bbq_sauce_and_place_it_in_the_basket.bddl,pick up the bbq sauce and place it in the basket,pick the ketchup and place it in the basket,True,"[[""in"", ""ketchup_1"", ""basket_1_contain_region""]]",ketchup_1
libero_object_task,4,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_ketchup_and_place_it_in_the_basket.bddl,pick up the ketchup and place it in the basket,pick the milk and place it in the basket,True,"[[""in"", ""milk_1"", ""basket_1_contain_region""]]",milk_1
libero_object_task,5,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_tomato_sauce_and_place_it_in_the_basket.bddl,pick up the tomato sauce and place it in the basket,pick the bbq sauce and place it in the basket,True,"[[""in"", ""bbq_sauce_1"", ""basket_1_contain_region""]]",bbq_sauce_1
libero_object_task,6,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_butter_and_place_it_in_the_basket.bddl,pick up the butter and place it in the basket,pick the orange juice and place it in the basket,True,"[[""in"", ""orange_juice_1"", ""basket_1_contain_region""]]",orange_juice_1
libero_object_task,7,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_milk_and_place_it_in_the_basket.bddl,pick up the milk and place it in the basket,pick the butter and place it in the basket,True,"[[""in"", ""butter_1"", ""basket_1_contain_region""]]",butter_1
libero_object_task,8,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_chocolate_pudding_and_place_it_in_the_basket.bddl,pick up the chocolate pudding and place it in the basket,pick the salad dressing and place it in the basket,True,"[[""in"", ""salad_dressing_1"", ""basket_1_contain_region""]]",salad_dressing_1
libero_object_task,9,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_object_task/pick_up_the_orange_juice_and_place_it_in_the_basket.bddl,pick up the orange juice and place it in the basket,pick the chocolate pudding and place it in the basket,True,"[[""in"", ""chocolate_pudding_1"", ""basket_1_contain_region""]]",chocolate_pudding_1
